time,position,velocity,duty
0.0,NaN,NaN,0.0
0.02,NaN,NaN,0.02
0.04,NaN,NaN,0.04
0.06,NaN,NaN,0.06
0.08,NaN,NaN,0.08
0.1,NaN,NaN,0.1
0.12000000000000001,NaN,NaN,0.12000000000000001
0.14,NaN,NaN,0.14
0.16,NaN,NaN,0.16
0.18,NaN,NaN,0.18
0.19999999999999998,NaN,NaN,0.19999999999999998
0.21999999999999997,NaN,NaN,0.21999999999999997
0.23999999999999996,NaN,NaN,0.23999999999999996
0.25999999999999995,NaN,NaN,0.25999999999999995
0.27999999999999997,NaN,NaN,0.27999999999999997
0.3,NaN,NaN,0.3
0.32,NaN,NaN,0.32
0.34,NaN,NaN,0.34
0.36000000000000004,NaN,NaN,0.36000000000000004
0.38000000000000006,NaN,NaN,0.38000000000000006
0.4000000000000001,NaN,NaN,0.4000000000000001
0.4200000000000001,NaN,NaN,0.4200000000000001
0.4400000000000001,NaN,NaN,0.4400000000000001
0.46000000000000013,NaN,NaN,0.46000000000000013
0.48000000000000015,NaN,NaN,0.48000000000000015
0.5000000000000001,NaN,NaN,0.5000000000000001
0.5200000000000001,NaN,NaN,0.5200000000000001
0.5400000000000001,NaN,NaN,0.5400000000000001
0.5600000000000002,NaN,NaN,0.5600000000000002
0.5800000000000002,NaN,NaN,0.5800000000000002
0.6000000000000002,NaN,NaN,0.6000000000000002
0.6200000000000002,NaN,NaN,0.6200000000000002
0.6400000000000002,NaN,NaN,0.6400000000000002
0.6600000000000003,NaN,NaN,0.6600000000000003
0.6800000000000003,NaN,NaN,0.6800000000000003
0.7000000000000003,NaN,NaN,0.7000000000000003
0.7200000000000003,NaN,NaN,0.7200000000000003
0.7400000000000003,NaN,NaN,0.7400000000000003
0.7600000000000003,NaN,NaN,0.7600000000000003
0.7800000000000004,NaN,NaN,0.7800000000000004
0.8000000000000004,NaN,NaN,0.8
